popularity,title,genre,developer,year,move,aim,hotas,retail_bd,free_to_play,cusa,size_gb,size_bytes,size_source,pv_monthly,pv_adjust
★,Pierhead Arcade,Pinball,Mechabit,2018,必需,,,,,,,,,,
★,Pinball FX2 VR,Pinball,Zen Studios,2016,—,,,,,CUSA06390,0.37,397737984,exact,,
★,Pirate Flight,Arcade,Andreas von Lepel,2018,—,,,,,,,,,,
★,Pistol Whip,,Cloudhead Games,2020,—,,,,,,,,,,
★,PixelJunk VR™ Dead Hungry,Action,Q-Games,2017,可选,,,,,,,,,,
★,Pop-Up Pilgrims,Arcade,Dakko Dakko,2018,—,,,,,,,,,,
★,Powerful Pro Baseball 2018,Sports,Konami,2018,—,,,,,,,,,,
★,Preta: Vendetta Rising,Action,Illion,2018,—,,,,,,,,,,
★,Prey: Typhon Hunter,Action,Bethesda,2018,可选,,,,,,,,,,
★,Proton Pulse Plus,Arcade,Zero Transform,2016,可选,,,,,,,,,,
★,Pupil: Wandering,Puzzle,Shanghai Oriental Pearl Culture Development,2018,必需,,,,,,,,,,
★,Quiz Night Tonight!,Trivia,Mardonpol,2017,可选,,,,,,,,,,
★,Racket Fury: Table Tennis,Sports,Cmoar Studio,2018,必需,,,,,,,,,,
★,Rage Room,Action,Lockem Reality,2019,必需,,,,,,,,,,
★,Ranch Planet,Simulation,AOGA Tech,2018,必需,,,,,,,,,,
★,Rangi,Adventure,Funsoft,2018,可选,,,,,,,,,,
★,Reborn: A Samurai Awakens,Fighting,Geronimo Interactive,2019,必需,,,,,,,,,,
★,Restless Spirit,Interactive movie,Wise,2017,—,,,,,,,,,,
★,Rhythm 'n Bullets,"Shooter, rhythm",DB Creations,2021,—,,,,,,,,,,
★,Richie's Plank Experience,Adventure,Toast VR,2018,可选,,,,,,,,,,
★,Rise of Insanity,Horror,Red Limb Studio,2019,—,,,,,,,,,,
★,Rollercoaster Dreams,Simulation,Bimboosoft,2016,—,,,,,CUSA05238,0.71,765263872,exact,,
★,RollerCoaster Legends,Simulation,Warducks,2017,—,,,,,,,,,,
★,RollerCoaster Legends II: Thor's Hammer,Simulation,Warducks,2018,可选,,,,,,,,,,
★,Rooms: The Usolvable Puzzle,Puzzle,Handmade Game,2018,—,,,,,,,,,,
★,Run Dorothy Run,Arcade,Virtro Entertainment,2018,必需,,,,,,,,,,
★,Sabre VR,Fire Point,Fire Point,,必需,,,,,,,,,,
★,Sacralith: The Archer`s Tale,Action,Odd-meter Studio,2019,必需,,,,,,,,,,
★,Salary Man Escape,Puzzle,Oasis Games,2018,可选,,,,,,,,,,
★,SculptrVR,"Action, adventure",SculptrVR,2018,必需,,,,,,,,,,
★,Sea of Memories,Puzzle,Ivanovich Games,2018,可选,,,,,,,,,,
★,Separation,Recluse Industries,Recluse Industries,2020,—,,,,,,,,,,
★,Shadow Legend VR,VitruviusVR,VitruviusVR,2020,必需,,,,,,,,,,
★,Sharknado VR: Eye of the Storm,Autumn VR,Autumn VR,,必需,,,,,,,,,,
★,Shooty Fruity,"Action, shooter",nDreams,2017,必需,,,,,,,,,,
★,Shuttle Commander,Simulation,Immersive VR Education,2019,—,,,,,,,,,,
★,Ski Jumping Pro VR,Sports,Kalypso Media,2019,—,,,,,,,,,,
★,SkyWorld,Strategy,Vertigo Games,2019,可选,,,,,,,,,,
★,Slum Ball VR,U24 Solutions,U24 Solutions,,必需,,,,,,,,,,
★,Smashbox Arena,Shooter,Archiact,2017,必需,,,,,,,,,,
★,Snatch VR Heist Experience,Interactive experience,Crackle,2018,—,,,,Y,,,,,,
★,Sneaky Bears,"Action, Shooter",WarDucks,2017,必需,,,,,,,,,,
★,Snow Fortress,"Action, Shooter",Mythical City Games,2017,必需,,,,,,,,,,
★,Soul Dimension,"Adventure, Puzzle, Horror",Keen Vision,2017,—,,,,,,,,,,
★,Space Pirate Trainer,"Action, Shooter",I-Illusions,2018,必需,,,,,,,,,,
★,Space Rift,Space Adventure,bitComposer,2016,—,,,,,,,,,,
★,Sparc,Sports,CCP Games,2017,必需,,,,,,,,,,
★,Special Delivery,Sports,Meerkat Gaming,2017,可选,Y,,,,,,,,,
★,Spider-Man: Far From Home - Virtual Reality Experience,Action,Sony Pictures Virtual Reality,2019,必需,,,,Y,,,,,,
★,Spider-Man: Homecoming - Virtual Reality Experience,Action,Sony Pictures Virtual Reality,2017,必需,,,,Y,,,,,,
★,Sports Bar VR,Sports,Cherry Pop Games,2016,必需,,,,,,,,,,
★,Spuds Unearthed,Gamedust,Gamedust,2020,必需,,,,,,,,,,
★,Starbear: Taxi,"Arena, Shooter",Funktronic Labs,2018,必需,,,,,,,,,,
★,StarDrone,"Action, Arcade",Beatshapers,2018,可选,,,,,,,,,,
★,Stardust Odyssey,"Action, adventure",Agharta Studio,2019,必需,,,,,,,,,,
★,Starship Disco,"Rhythm, Shooter",Solus Games,2016,可选,,,,,,,,,,
★,Statik,Puzzle,Tarsier Studios,2017,—,,,,,CUSA06931,1.09,1174470656,exact,,
★,Steel Combat,Fighting,Colopl,2017,—,,,,,,,,,,
★,Stifled,"Action, horror",Gattai Games,2017,—,,,,,,,,,,
★,Stranger Things: The VR-Experience,Adventure,Netflix,2017,必需,,,,Y,CUSA10298,2.84,3051945984,exact,,
★,Stunt Kite Masters VR,Simulation,HandyGames,2017,可选,,,,,,,,,,
★,Summer Funland,Monad Rock,Monad Rock,2019,必需,,,,,,,,,,
★,Super Amazeballs,Action,Braincells Productions,2018,必需,,,,,,,,,,
★,Surgeon Simulator: Experience Reality,Simulation,Bossa Studios,2016,可选,,,,,,,,,,
★,Symphony of the Machine,Puzzle,Stirfire Studios,2017,可选,,,,,,,,,,
★,Syren,Survival horror,Hammerhead VR,2018,必需,,,,,,,,,,
★,Tale of the Fragmented Star: Single Fragment Version,Adventure,ForgeVision,2018,—,,,,,,,,,,
★,Telefrag VR,Anshar Studios,Anshar Studios,2019,可选,,,,,,,,,,
★,Tethered,Simulation,Secret Sorcery,2016,可选,,,,,,,,,,
★,The 100 Wonders of Japan: Himeji Castle,Interactive movie,Kyodo Television,2017,—,,,,,,,,,,
★,The Arcslinger,Shooter,Big Red Button Entertainment,2019,必需,,,,,,,,,,
★,The Bellows,Horror,Castle Steps,2017,可选,,,,,,,,,,
★,The Chainsmokers Paris.VR,Interactive Experience,Sony Music Entertainment,2017,—,,,,Y,,,,,,
★,The Chantry,Educational,Steel Minions,2018,可选,,,,,,,,,,
★,The Detective invisible,Interactive Experience,Sony Interactive Entertainment,2018,—,,,,Y,,,,,,
★,The Door,Horror,Skonec Entertainment,2018,—,,,,,,,,,,
★,The Exorcist: Legion VR,Horror,LegionVR,2018,可选,,,,,,,,,,
★,The Illusionist-Andres Iniesta,Unique,Gamepoch,2017,—,,,,Y,CUSA10516,0.55,593625088,exact,,
★,The Mage's Tale,InXile Entertainment,InXile Entertainment,2019,必需,,,,,,,,,,
★,The Martian: VR Experience,Interactive experience,20th Century Fox,2016,必需,,,,,,,,,,
★,The Ministry of Time VR: Save the time,"Simulation, adventure",El Faro Del Futuro,2017,—,,,,Y,CUSA10017,1.91,2054684672,exact,,
★,The Perfect Sniper,"Action, Shooter, Simulation",Sinn Studio,2018,可选,Y,,,,,,,,,
★,The Virtual Orchestra (Premium),Music,Sony Interactive Ent.,2017,—,,,,,,,,,,
★,The Walker,"Action, shooter",Winking Skywalker,2018,必需,,,,,,,,,,
★,Theater Room VR Beta,Streaming video,Sony Interactive Entertainment,2018,—,,,,Y,,,,,,
★,Throw Anything,Action,VisualLight,2020,必需,,,,,,,,,,
★,Tilt Brush by Google,"Adventure, paint",Google,2020,必需,,,,,,,,,,
★,Time Machine VR,Interactive Experience,Minority Media,2016,—,,,,,,,,,,
★,Tiny Trax,Racing,FuturLab,2017,—,,,,,,,,,,
★,Titanic VR,Interactive Experience,Immersive VR Education,2018,可选,,,,,,,,,,
★,Tom Grennan VR,Interactive Movie,Sony Music Entertainment,2018,—,,,,Y,CUSA13051,0.72,768081920,exact,,
★,Touring Karts,Ivanovich Games,Ivanovich Games,2019,可选,,,,,,,,,,
★,Trainer VR,"Casual, Indie, Simulation",Sumalab,2019,必需,,,,,,,,,,
★,Transpose,Puzzle,Secret Location,2018,必需,,,,,,,,,,
★,Trickster VR: Dungeon Crawler,First-Person,Trickster Games,2018,必需,,,,,,,,,,
★,Tumble VR,Puzzle,Supermassive Games,2016,可选,,,,,CUSA05406,2.49,2672361472,exact,,
★,Twisty Puzzle Simulator,Puzzle,Vizioneck,2018,可选,,,,,,,,,,
★,Ultra Kabuki VR,Dwango,Dwango,2018,可选,,,,Y,,,,,,
★,Until You Fall,"Hack and slash, roguelite",Schell Games,2020,—,,,,,,,,,,
★,Vacation Simulator,Simulation,Owlchemy Labs,2019,必需,,,,,,,,,,
★,Verti-GO Home!,Action,Trucker VR,2019,—,,,,,,,,,,
★,VEV: Viva Ex Vivo,"Survival, Adventure",Truant Pixel,2016,—,,,,,,,,,,
★,Vigilante Ranger,Tower defense,Sinergia Studios,2020,必需,,,,,,,,,,
★,Viking Days,Simulation,VRMonkey,2018,可选,,,,,,,,,,
★,Virtual Virtual Reality,Adventure,Tender Claws,2019,可选,,,,,,,,,,
★,VirtuGO,Puzzle,Surreal Games,2017,—,,,,,,,,,,
★,VirZoom Arcade,Racing,VirZoom,2016,—,,,,Y,CUSA06167,2.39,2567176192,exact,,
★,VR Apocalypse,Arcade racing,NextGen Interactions,2018,—,,,,,,,,,,
★,VR Figure from Shining,Simulation,Sega,2018,—,,,,,,,,,,
★,VR Invaders - Complete Edition,First-person,My.com,2017,必需,,,,,,,,,,
★,VR Tennis Online,Sports,COLOPL,2017,—,,,,,,,,,,
★,VR The Diner Duo,Simulation,Whirlybird Games,2017,必需,,,,,,,,,,
★,VRFC Virtual Reality Football Club,Sports,Cherry Pop Games,2018,—,,,,,,,,,,
★,VRobot,Action,Nival,2018,必需,,,,,,,,,,
★,VRog,Action,ByteRockers' Games GmbH & Co. KG,2017,—,,,,,,,,,,
★,Vroom Kaboom,"Action, racing",Ratloop Games Canada,2018,可选,,,,,CUSA09670,4.40,4728750080,exact,,
★,Waddle Home,Puzzle,Archiact Int.,2016,可选,,,,,,,,,,
★,Waltz of the Wizard,Interactive Experience,Aldin Dynamics,2019,必需,,,,,,,,,,
★,Wands,Interactive Experience,Aldin Dynamics,2019,可选,,,,,,,,,,
★,Warbot,Fighting,Shanghai Lusion Computer Software,2018,必需,,,,,,,,,,
★,We Happy Few: Uncle Jack Live VR,Adventure,Gearbox Publishing,2018,可选,,,,Y,CUSA13206,4.75,5097717760,exact,,
★,Wild Turkey Hunter VR,"Action, sports",PSR Outdoors,2018,—,,,,,,,,,,
★,Windlands,Adventure,Psytec Games,2016,可选,,,,,,,,,,
★,Witching Tower VR,Daily Magic Productions,Daily Magic Productions,2019,必需,,,,,,,,,,
★,Within,Streaming cinema,Within Unlimited,2016,—,,,,Y,CUSA07204,0.13,141557760,exact,,
★,Wraith,"Action, Shooter, Survival, Horror",Sinn Studio,2018,必需,Y,,,,,,,,,
★,Wraith: The Oblivion - Afterlife,"Survival, Horror",Fast Travel Games,2021,必需,,,,,,,,,,
★,Xeta,Shooter,Fevolution Innovation,2017,必需,,,,,,,,,,
